time,temperature
0,15.478743508635082
1,15.111806079439521
2,15.074659820936098
3,15.592315559679424
4,16.301153168654913
5,15.540534632521942
6,15.814533964443994
7,16.470912072429456
8,16.81237881371404
9,16.91610626866372
10,17.383740640448917
11,17.420619950682486
12,18.14099780350595
13,17.028365536845655
14,16.802895508940306
15,16.881526055946622
16,17.03012117331745
17,17.40867142322171
18,16.832984217625516
19,16.685010587811178
20,16.658949168159303
21,16.163787232553418
22,16.747249236997526
23,16.585260969164224
24,15.961635934184864
25,16.207716837206565
26,16.56455780849789
27,15.925235493276462
28,15.252920776278184
29,16.278207988808614
30,14.976159490569575
31,14.955450663923314
32,15.06519403410389
33,14.665437707577926
34,13.71116118514206
35,15.025906842583742
36,14.111618467538586
37,13.860845971314605
38,14.597397845319422
39,13.988991736723861
40,12.892484180023194
41,14.123762170295993
42,12.962462243686415
43,12.914648000936475
44,13.684992677386429
45,12.08453974629799
46,13.075275083428709
47,13.159718867553178
48,13.538343162438364
49,13.590573727056366
50,12.72143905059237
51,14.02573622148286
52,13.03289045504045
53,13.13760513004672
54,13.235559336156767
55,12.888423818969327
56,13.244437908575858
57,14.327188474509432
58,13.832592105793523
59,14.394792768600192
60,14.971517684465933
61,15.058848224214271
62,14.263038186694283
63,15.143351042834638
64,15.898221620375345
65,14.818315473309042
66,15.243760011903523
67,15.387483883840522
68,16.46109543504407
69,15.503344116384786
70,15.670201884449014
71,17.08170356095777
72,16.141812626482434
73,16.730455204491346
74,16.569795918274274
75,15.96253858379316
76,16.780362317719963
77,16.743317027637737
78,16.550639459747405
79,16.66580214469487
80,16.623072270996442
81,17.41199988848659
82,16.973142602255166
83,16.794032152742584
84,16.765324349236813
85,16.424056092171796
86,16.81268381738305
87,16.383094689023615
88,15.951186989780549
89,17.413307585474634
90,15.769171360102199
91,15.540296499741553
92,14.804928505564044
93,15.193685188269887
94,14.870279190330233
95,15.021249479013079
96,14.167514615947526
97,14.356147462529211
98,14.53477742374323
99,14.114118953812113
