time,temperature
0,14.389032299318506
1,15.50010053632942
2,15.34363244645875
3,15.72685718838097
4,15.49473182908175
5,15.730996434093587
6,17.122142572108004
7,15.926506029410923
8,16.35383132995574
9,16.620176786025812
10,17.371769386046218
11,16.94841914306759
12,16.342253233354352
13,16.628679375474356
14,17.30460823224311
15,18.191772607715265
16,17.07396708345265
17,17.625983255456777
18,16.65975468543147
19,17.054947465764553
20,17.01811835204449
21,17.26711821351022
22,16.523547309558285
23,16.76002374125628
24,16.873906031950597
25,16.26773844691905
26,16.129069725491465
27,15.107965193535826
28,15.652365868395707
29,15.06868966356402
30,15.832959067857166
31,14.275927297677178
32,14.456658332474031
33,14.67506928798828
34,14.232068865317661
35,14.0727796460425
36,13.72262181736997
37,13.9769484719739
38,13.40886330139263
39,13.761837348226072
40,12.900689703227869
41,13.721189610154283
42,13.764824115450976
43,13.18476454468848
44,12.957934906052934
45,13.32459931401657
46,12.984671293070102
47,13.030353733219656
48,13.02370909139118
49,14.367148843627815
50,13.701835115810972
51,12.918878957967825
52,12.94354953457084
53,13.541107502977304
54,13.36510488148938
55,13.439135718170087
56,13.63334277195611
57,14.257855854440542
58,13.610987952555377
59,14.221815849813993
60,15.073771857966138
61,14.622535598432517
62,15.469521007046989
63,15.50640870652426
64,14.105459954102061
65,15.476715313752116
66,16.49117507469636
67,16.694660656128814
68,15.867694603090678
69,16.2539708724626
70,16.374827291310705
71,17.31447602673111
72,16.892562326136925
73,16.972623329193514
74,16.60087714564539
75,17.625558325349957
76,18.06544178701135
77,16.866905375506825
78,18.68714121742997
79,16.337737784761437
80,16.837611824213056
81,16.421583273004668
82,16.602178887991304
83,16.70899710196987
84,16.714635697299705
85,15.369662590317498
86,16.525049656545278
87,16.09200847690101
88,16.28279753436069
89,15.936361634577908
90,15.06708927846057
91,15.165705579975736
92,14.963963738577192
93,14.505095226700398
94,14.301156066877928
95,15.202618612514701
96,13.728489518876348
97,14.7206685749057
98,14.5420994201732
99,13.151931987006371
